Tree	Node A-upos	Node B-upos	Node C-upos	Node D-upos	Node E-upos	Absolute frequency	Relative frequency	Order	Grew-match query	Grew-match URL	Number of nodes	Root node
DET <det NOUN	DET	NOUN				320	12724.1640	AB	pattern {B [upos=NOUN]; A [upos=DET]; B -[det]-> A; B >> A}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BB%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DDET%5D%3B%20B%20-%5Bdet%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D	2	NOUN
ADP <case DET <det NOUN	ADP	DET	NOUN			190	7554.9724	ABC	pattern {C [upos=NOUN]; A [upos=ADP]; B [upos=DET]; C -[case]-> A; C -[det]-> B; C >> A; C >> B}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BC%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADP%5D%3B%20B%20%5Bupos%3DDET%5D%3B%20C%20-%5Bcase%5D-%3E%20A%3B%20C%20-%5Bdet%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	NOUN
ADP <case NOUN	ADP	NOUN				165	6560.8971	AB	pattern {B [upos=NOUN]; A [upos=ADP]; B -[case]-> A; B >> A}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BB%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADP%5D%3B%20B%20-%5Bcase%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D	2	NOUN
ADJ <amod NOUN	ADJ	NOUN				126	5010.1396	AB	pattern {B [upos=NOUN]; A [upos=ADJ]; B -[amod]-> A; B >> A}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BB%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADJ%5D%3B%20B%20-%5Bamod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D	2	NOUN
PRON <nmod:poss NOUN	PRON	NOUN				78	3101.5150	AB	pattern {B [upos=NOUN]; A [upos=PRON]; B -[nmod:poss]-> A; B >> A}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BB%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DPRON%5D%3B%20B%20-%5Bnmod%3Aposs%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D	2	NOUN
DET <det ADJ <amod NOUN	DET	ADJ	NOUN			68	2703.8848	ABC	pattern {C [upos=NOUN]; A [upos=DET]; B [upos=ADJ]; C -[det]-> A; C -[amod]-> B; C >> A; C >> B}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BC%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DDET%5D%3B%20B%20%5Bupos%3DADJ%5D%3B%20C%20-%5Bdet%5D-%3E%20A%3B%20C%20-%5Bamod%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	NOUN
CCONJ <cc NOUN	CCONJ	NOUN				66	2624.3588	AB	pattern {B [upos=NOUN]; A [upos=CCONJ]; B -[cc]-> A; B >> A}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BB%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DCCONJ%5D%3B%20B%20-%5Bcc%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D	2	NOUN
ADP <case PRON <nmod:poss NOUN	ADP	PRON	NOUN			65	2584.5958	ABC	pattern {C [upos=NOUN]; A [upos=ADP]; B [upos=PRON]; C -[case]-> A; C -[nmod:poss]-> B; C >> A; C >> B}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BC%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADP%5D%3B%20B%20%5Bupos%3DPRON%5D%3B%20C%20-%5Bcase%5D-%3E%20A%3B%20C%20-%5Bnmod%3Aposs%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D	3	NOUN
NOUN <compound NOUN	NOUN	NOUN				59	2346.0177	AB	pattern {B [upos=NOUN]; A [upos=NOUN]; B -[compound]-> A; B >> A}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BB%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DNOUN%5D%3B%20B%20-%5Bcompound%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D	2	NOUN
NUM <nummod NOUN	NUM	NOUN				50	1988.1506	AB	pattern {B [upos=NOUN]; A [upos=NUM]; B -[nummod]-> A; B >> A}	http://universal.grew.fr/?corpus=UD_English-EWT&request=pattern%20%7BB%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DNUM%5D%3B%20B%20-%5Bnummod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D	2	NOUN
